,date,content,coordinates,place
52,2022-04-12 16:42:57+00:00,Sarap nung ulan.,"{'longitude': 120.9416422, 'latitude': 14.5438774}","{'fullName': 'Manila City, National Capital Region', 'name': 'Manila City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
53,2022-04-12 16:41:54+00:00,Anong nangyari sakin ngayon? Sobra akong nasstress at di ko alam kung saan. Ni-hindi ako makakilos kanina pang umaga and anytime para akong mag bre-breakdown. Help,"{'longitude': 121.0165174, 'latitude': 14.1370052}","{'fullName': 'Calamba City, Calabarzon', 'name': 'Calamba City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
54,2022-04-12 16:37:57+00:00,Driving along SLEX na malakas nag ulan and sira ang headlights. Mabait pa din si Lord at nakauwi ako ng maayos.,"{'longitude': 121.0102698, 'latitude': 14.3201119}","{'fullName': 'San Pedro, Calabarzon', 'name': 'San Pedro', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
55,2022-04-12 16:37:46+00:00,"If ever wala na ang bagyo ugma, ang problem na sad kay asa mu agi padung bantayan. Both balamban-asturias-tubaran and catmon-sogod-borbon roads are unpassable. So unsaon nlang among gi deposit if di madayun lol","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
56,2022-04-12 16:29:01+00:00,"Yung kagagaling ko lang sa sakit, tapos no choice ako kundi maligo sa ulan knina dhil inabot kami ng tubig. Hays","{'longitude': 120.8911483, 'latitude': 14.8020458}","{'fullName': 'Balagtas, Central Luzon', 'name': 'Balagtas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
57,2022-04-12 16:25:10+00:00,Ligo kami ulan HHAHAH,"{'longitude': 120.9416422, 'latitude': 14.5438774}","{'fullName': 'Manila City, National Capital Region', 'name': 'Manila City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
58,2022-04-12 16:23:17+00:00,"With the apparent damage that the typhoon has caused, it's our job as servant leaders to extend our helping hand. 

We're knocking at your kind hearts to extend what you can to help those who are unfortunately affected by Typhoon #AgatonPH.","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
59,2022-04-12 16:22:19+00:00,Buti naman at di tumuloy ulan.,"{'longitude': 120.4977942, 'latitude': 15.1120056}","{'fullName': 'Angeles City, Central Luzon', 'name': 'Angeles City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
60,2022-04-12 16:18:34+00:00,@VillarosaMelisa Pa help report po,"{'longitude': 122.5599433, 'latitude': 10.7641681}","{'fullName': 'Leganes, Western Visayas', 'name': 'Leganes', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
61,2022-04-12 16:16:52+00:00,Nagising ako sa lakas ng ulan grabe,"{'longitude': 120.9665401, 'latitude': 14.3912438}","{'fullName': 'Las Pinas City, National Capital Region', 'name': 'Las Pinas City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
62,2022-04-12 16:13:48+00:00,Ay indi gd ni ya mag untat ang ulan??,"{'longitude': 122.5972606, 'latitude': 10.9378272}","{'fullName': 'Concepcion, Western Visayas', 'name': 'Concepcion', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
63,2022-04-12 16:10:19+00:00,"I really don’t get why this ain’t trending, a lot of people are still buried alive, resources are depleting, people are desperate for help like guys kahit hindi kakampink yung lugar namin we badly need your help. :(((( https://t.co/IxPt6prVgb","{'longitude': 120.9988804, 'latitude': 14.5134816}","{'fullName': 'Makati City, National Capital Region', 'name': 'Makati City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
64,2022-04-12 16:09:47+00:00,"Hi, sinong may kr add dyan? May itanong lang sana ako hihi🥲 help me juseyo~","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
65,2022-04-12 16:09:47+00:00,@officialXQK Thank you so much for always extending your loving arms to help people 💚❤️💚,"{'longitude': 118.380612, 'latitude': 9.5181242}","{'fullName': 'Puerto Princesa City, Mimaropa', 'name': 'Puerto Princesa City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
66,2022-04-12 16:07:24+00:00,@helpingneeds1 @JashTea @XRPL_XUM @officialXQK @xtreme_asia @MarioXQuake Thanks for the help sis @JashTea,"{'longitude': 118.380612, 'latitude': 9.5181242}","{'fullName': 'Puerto Princesa City, Mimaropa', 'name': 'Puerto Princesa City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
67,2022-04-12 15:57:57+00:00,Loooord. Please help me survive this 20-hr shift. 😭,"{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
68,2022-04-12 15:46:22+00:00,"waah, ulan 🥺🤍","{'longitude': 121.0499176, 'latitude': 14.21848}","{'fullName': 'Santa Rosa City, Calabarzon', 'name': 'Santa Rosa City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
69,2022-04-12 15:44:55+00:00,Nanawagan ang mga atleta sa sektor ng Persons with Disability (PWD) na patuloy silang suportahan ng susunod ng administrasyon sa kanilang kakayahan sa mundo ng sports sa pamumuno ng Philippine Sports Association for the Differently Abled o PHILSPADA sa tulong ng PSC. https://t.co/zgsNhT41DD,"{'longitude': 121.094473, 'latitude': 14.5270254}","{'fullName': 'Cainta, Calabarzon', 'name': 'Cainta', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
70,2022-04-12 15:43:57+00:00,"Please pray for ILOILO po, 🙏
kahapon pa walang tigil ang ulan. 😭😭😭 https://t.co/AgdYLz6jaH","{'longitude': 122.4979499, 'latitude': 10.6789404}","{'fullName': 'Iloilo City, Western Visayas', 'name': 'Iloilo City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
71,2022-04-12 15:40:33+00:00,"PLEASE RT TO HELP.

guys, friends, non moots, I hope you can help us.

I'm willing to buy relief goods for our family and neighbors after the flood subsides.

Any amount will do. Thank you so much. 😭

GCASH: May-Ann Basamot
#: 09569346644

#CapizNeedsHelp https://t.co/X4LK0PlJAv","{'longitude': 122.6502488, 'latitude': 11.2788582}","{'fullName': 'Cuartero, Western Visayas', 'name': 'Cuartero', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
72,2022-04-12 15:37:59+00:00,"Region 8 Needs Our Help

#LeyteNeedsHelp
#AbuyogNeedsHelp
#BaybayNeedsHelp 
#LeyteNeedsHelp https://t.co/YHhDOIUXfp","{'longitude': 124.8789588, 'latitude': 11.1382777}","{'fullName': 'Santa Fe, Eastern Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
73,2022-04-12 15:37:48+00:00,@lenirobredo Baha baha nadi yah sa amon. Ari na kami sa kalsada..,"{'longitude': 122.7256552, 'latitude': 11.375959}","{'fullName': 'Panitan, Western Visayas', 'name': 'Panitan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
74,2022-04-12 15:37:18+00:00,"Instead of spreading negativity sa fandom, spread infos about sa typhoon kahit hindi related sa esbi. Kasi may mga A'Tin din pong mga nasalanta ng bagyo.

#LeyteNeedsHelp #BaybayNeedsHelp #AbuyogNeedsHelp 
#AgatonPH","{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
75,2022-04-12 15:31:12+00:00,"ka kusog sa ulan huhu ka 
blessed ba","{'longitude': 124.7421861, 'latitude': 8.6816795}","{'fullName': 'Balingasag, Northern Mindanao', 'name': 'Balingasag', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
76,2022-04-12 15:30:30+00:00,"Hindi po madali mawalan ng ari-arian kasi lahat yun pinaghirapan natin. Kaya kahit kaunting tulong lang po gaya ng pag-inform sa iba ay malaking bagay na.

#LeyteNeedsHelp #BaybayNeedsHelp #AbuyogNeedsHelp 
#AgatonPH","{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
77,2022-04-12 15:20:22+00:00,"There are those who are in the hospital being treated and there those who cant be identified.
Just because Leytenos are making an effort to help each other does not mean that we can stand alone. We need help. Everyone who was devastated by #AgathonPH needs help.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
78,2022-04-12 15:18:28+00:00,God help them to start again 😢 https://t.co/dsdXcyZgER,"{'longitude': 124.6748915, 'latitude': 11.7375585}","{'fullName': 'Catbalogan City, Eastern Visayas', 'name': 'Catbalogan City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
79,2022-04-12 15:11:40+00:00,…so pupunta na ba ako ng mcdo for the korean burger emedu cravings???? Wala na masyadong ulan HAHAHA,"{'longitude': 122.2899487, 'latitude': 11.5360018}","{'fullName': 'Banga, Western Visayas', 'name': 'Banga', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
80,2022-04-12 15:10:44+00:00,Pasend na nga po dun sa mga naghahanap ng resibo na kung may nagawa na ba ang OVP sa bagyo. https://t.co/hZTZHW3KS3,"{'longitude': 121.0167613, 'latitude': 14.5674476}","{'fullName': 'Mandaluyong City, National Capital Region', 'name': 'Mandaluyong City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
